OBJECTID,Vision_PID,GISID,F10D_ID,Map,Block,Lot,St_Num,Street,Location,Land_Val,Build_Val,Total_Val,Zone,Room_Cnt,Build_SF,Sale_Price,Sale_Date,Year_Built,Land_Area,Build_Styl,Bath_Cnt,Exempt_Val,Bed_Cnt,Tax_Total,LU_CODE,LU_DESC4
388,138,1-61,1001061000,      1,     61,,0,SOUTH ST (OFF OF),SOUTH ST (OFF OF),18700,0,18700,RF,,0,0,40574,0,1001880,Vacant Land,,0,,18700,9040,LIT/SCIENT  MDL-00
389,139,1-65-1,1001065001,      1,     65,      1,0,CHARTER OAKS TR PK,0 CHARTER OAKS TR PK,3700,0,3700,LRF,,0,0,26388,0,196020,Vacant Land,,0,,3700,1320,RES ACLNUD  MDL-00
390,140,1-66,1001066000,      1,     66,,120,ANDREWS RD,120 ANDREWS RD,21100,0,21100,LRF,,0,37500,32839,0,1132560,Vacant Land,,0,,21100,9035,TOWN-PROP  MDL-00
391,141,1-67,1001067000,      1,     67,,250,DREWS MILL RD,250 DREWS MILL RD,55000,2400,57400,RF,,0,160000,43133,0,3876840,,,0,,57400,1060,AC LND OUTBLDG
392,142,1-68,1001068000,      1,     68,,0,ANDREWS RD,ANDREWS RD,52800,0,52800,RF,,0,0,30265,0,3721331,Vacant Land,,0,,52800,1320,RES ACLNUD  MDL-00
393,143,1-69,1001069000,      1,     69,,0,ANDREWS RD (OFF OF),ANDREWS RD (OFF OF),8100,0,8100,RF,,0,0,,0,435600,Vacant Land,,0,,8100,9080,FRATERNAL  MDL-00
394,144,1-70,1001070000,      1,     70,,0,ANDREWS RD (OFF OF),ANDREWS RD (OFF OF),50400,0,50400,RF,,0,0,,0,2700720,Vacant Land,,0,,50400,9080,FRATERNAL  MDL-00
395,145,1-71,1001071000,      1,     71,,0,ANDREWS RD (OFF OF),ANDREWS RD (OFF OF),12200,0,12200,RF,,0,0,40984,0,718740,Vacant Land,,0,,12200,1320,RES ACLNUD  MDL-00
396,146,1-72,1001072000,      1,     72,,557,SOUTH ST,557 SOUTH ST,900,0,900,RF,,0,0,,0,23087,Vacant Land,,0,,900,4230,ELEC ROW
397,147,1-73,1001073000,      1,     73,,41,RIVER RD,41 RIVER RD,27600,0,27600,RF,,0,0,,0,740520,Vacant Land,,0,,27600,4230,ELEC ROW
398,149,1-75-1,1001075001,      1,     75,      1,66,ANDREWS RD,66 ANDREWS RD,137600,392200,529800,LRF,,11700,450000,42935,1993,696960,Pre-Eng Warehs,,0,,529800,4010,IND WHSES  MDL-96
399,150,1-76,1001076000,      1,     76,,530,SOUTH ST,530 SOUTH ST,49200,108300,157500,RF SR1,5,954,100000,42938,1975,43560,Raised Ranch,1,0,3,157500,1010,SINGLE FAM  MDL-01
400,151,1-77,1001077000,      1,     77,,532,SOUTH ST,532 SOUTH ST,51500,183900,235400,RF,10,1854,150261,41200,1974,84071,Raised Ranch,2.5,20000,4,215400,1010,SINGLE FAM  MDL-01
401,121030,1-79,1001079000,      1,     79,,538,SOUTH ST,538 SOUTH ST,48300,103800,152100,RF,4,768,12000,34771,2014,232174,Ranch,1,0,2,152100,1010,SINGLE FAM  MDL-01
402,153,1-79-1,1001079001,      1,     79,      1,534,SOUTH ST,534 SOUTH ST,44000,144400,188400,RF,5,1040,174000,41934,2014,305356,Raised Ranch,1.5,0,2,188400,0130,PRI RES  MDL-01
403,155,1-81,1001081000,      1,     81,,540,SOUTH ST,540 SOUTH ST,49800,104900,154700,RF,5,960,167000,42158,1975,58806,Ranch,1,20000,3,134700,1010,SINGLE FAM  MDL-01
404,157,2-1,1002001000,      2,      1,,50,ANDREWS RD,50 ANDREWS RD,125900,0,125900,RF,,0,1,32904,0,3092760,Vacant Land,,0,,125900,9035,TOWN-PROP  MDL-00
405,158,2-2,1002002000,      2,      2,,35,ANDREWS RD,35 ANDREWS RD,42200,146800,189000,RF,6,1260,0,30729,1985,64904,Ranch,1,20000,4,169000,1010,SINGLE FAM  MDL-01
406,159,2-2-1,1002002001,      2,      2,      1,25,ANDREWS RD,25 ANDREWS RD,48600,197700,246300,RF B2,4,2263,0,31481,1986,505296,Ranch,1,20000,3,226300,1010,SINGLE FAM  MDL-01
407,160,2-2-2,1002002002,      2,      2,      2,29,ANDREWS RD,29 ANDREWS RD,43800,136700,180500,RF,4,1024,0,36531,1986,74488,Ranch,1,20000,3,160500,1010,SINGLE FAM  MDL-01
408,161,2-2-3,1002002003,      2,      2,      3,17,ANDREWS RD,17 ANDREWS RD,12300,0,12300,RF B2,,0,0,32497,0,328878,Vacant Land,,0,,12300,4230,ELEC ROW
409,162,2-2-4,1002002004,      2,      2,      4,5,FALCON RIDGE,5 FALCON RIDGE,30300,161000,191300,RF,6,1790,0,40109,1992,55321,Cape,2,20000,3,171300,1010,SINGLE FAM  MDL-01
410,163,2-2-5,1002002005,      2,      2,      5,7,FALCON RIDGE,7 FALCON RIDGE,30200,204900,235100,RF,6,2478,0,39682,1992,68389,Cape,2.5,20000,3,215100,1010,SINGLE FAM  MDL-01
411,164,2-2-6,1002002006,      2,      2,      6,6,WHITETAIL DR,6 WHITETAIL DR,41700,125200,166900,RF,6,1152,199000,43007,1993,87120,Ranch,1,0,2,166900,1010,SINGLE FAM  MDL-01
412,165,2-2-7,1002002007,      2,      2,      7,10,WHITETAIL DR,10 WHITETAIL DR,37800,131500,169300,RF,5,1400,0,35061,1996,87120,Ranch,1.5,20000,3,149300,1010,SINGLE FAM  MDL-01
413,102822,2-2-8,1002002008,      2,      2,      8,0,WHITETAIL DR,WHITETAIL DR,5800,0,5800,RF,,0,0,36531,0,277042,Vacant Land,,0,,5800,1320,RES ACLNUD  MDL-00
414,102942,2-2-9,1002002009,      2,      2,      9,0,FALCON RIDGE,FALCON RIDGE,5400,0,5400,RF,,0,0,41740,0,429502,Vacant Land,,0,,5400,1320,RES ACLNUD  MDL-00
415,167,2-3,1002003000,      2,      3,,606,ALFRED ST,606 ALFRED ST,277400,150300,427700,RF B2,,2125,0,39325,1969,87556,Pre-Eng Warehs,,0,,427700,316I,COMM WHSE  MDL-96
416,168,2-4,1002004000,      2,      4,,604,ALFRED ST,604 ALFRED ST,126200,134900,261100,B2,6,1824,180000,38180,1940,65340,Conventional,2.5,26000,3,235100,1010,SINGLE FAM  MDL-01
417,169,2-5,1002005000,      2,      5,,602,ALFRED ST,602 ALFRED ST,287300,245400,532700,B2,,6932,0,38203,2004,87120,Service Shop,,0,,532700,332I,AUTO REPR  MDL-96
418,170,2-5-1,1002005001,      2,      5,      1,13,ANDREWS RD,13 ANDREWS RD,42400,101000,143400,RF,6,1350,135000,37365,1935,43560,Cape,2,20000,3,123400,1010,SINGLE FAM  MDL-01
419,171,2-5-2,1002005002,      2,      5,      2,9,ANDREWS RD,9 ANDREWS RD,51500,305700,357200,RF B2,8,2014,25500,36528,2000,341510,Ranch,2,20000,3,337200,1010,SINGLE FAM  MDL-01
420,172,2-5-3,1002005003,      2,      5,      3,5,JOURNEY WALK,5 JOURNEY WALK,58100,900,59000,B2,,0,75000,42886,0,116305,,,0,,59000,1060,AC LND OUTBLDG
421,173,2-5-4,1002005004,      2,      5,      4,15,ANDREWS RD,15 ANDREWS RD,27100,0,27100,RF,,0,22000,37326,0,46609,Vacant Land,,0,,27100,1300,RES ACLNDV  MDL-00
422,174,2-6,1002006000,      2,      6,,590,ALFRED ST,590 ALFRED ST,327900,62700,390600,RF B2,5,832,500000,37320,1935,1521986,Conventional,1,0,3,390600,906R,CHURCH  MDL-01
423,175,2-6-1,1002006001,      2,      6,      1,605,ALFRED ST,605 ALFRED ST,277000,12500,289500,B2,,0,625000,42642,0,53579,,,0,,289500,337V,PARK LOT  MDL-00
424,102022,2-6-2,1002006002,      2,      6,      2,20,ANDREWS RD,20 ANDREWS RD,41400,174400,215800,RF,6,1095,150750,37113,2001,40215,Raised Ranch,2,20000,3,195800,1010,SINGLE FAM  MDL-01
425,176,2-7,1002007000,      2,      7,,603,ALFRED ST,603 ALFRED ST,100700,63000,163700,B2,5,839,128000,37847,1948,37462,Ranch,1,0,2,163700,1010,SINGLE FAM  MDL-01
426,177,2-8,1002008000,      2,      8,,601,ALFRED ST,601 ALFRED ST,127600,105800,233400,B2,6,1434,113300,41934,1950,54450,Cape,1,0,3,233400,1010,SINGLE FAM  MDL-01
427,178,2-9,1002009000,      2,      9,,9,LETELLIER LN,9 LETELLIER LN,125800,0,125800,B2,,0,0,33436,0,178596,Vacant Land,,0,,125800,1300,RES ACLNDV  MDL-00
428,179,2-9-1,1002009001,      2,      9,      1,8,LETELLIER LN,8 LETELLIER LN,125700,69000,194700,B2,5,912,65000,37568,1970,76230,Ranch,1,20000,3,174700,1010,SINGLE FAM  MDL-01
429,180,2-9-2,1002009002,      2,      9,      2,599,ALFRED ST,599 ALFRED ST,172000,159000,331000,B2,5,1680,0,26906,1964,326700,Modern/Contemp,1,26000,3,305000,1010,SINGLE FAM  MDL-01
430,181,2-9-3,1002009003,      2,      9,      3,38,LETELLIER LN,38 LETELLIER LN,700,0,700,B2,,0,0,35138,0,18731,Vacant Land,,0,,700,1320,RES ACLNUD  MDL-00
431,182,2-9-4,1002009004,      2,      9,      4,5,LETELLIER LN,5 LETELLIER LN,123300,175500,298800,B2,5,1662,0,36547,1987,43560,Raised Ranch,2,20000,3,278800,1010,SINGLE FAM  MDL-01
432,183,2-10,1002010000,      2,     10,,5,ANDREWS RD,5 ANDREWS RD,24800,0,24800,B2,,0,20000,32281,0,33977,Vacant Land,,0,,24800,1300,RES ACLNDV  MDL-00
433,184,2-10-1,1002010001,      2,     10,      1,594,ALFRED ST,594 ALFRED ST,138500,20600,159100,B2,,0,0,29733,0,21780,,,0,,159100,1060,AC LND OUTBLDG
434,185,2-10-2,1002010002,      2,     10,      2,598,ALFRED ST,598 ALFRED ST,146400,145300,291700,B2,6,1368,85000,32365,1988,47480,Ranch,1,20000,3,271700,1010,SINGLE FAM  MDL-01
435,186,2-10-3,1002010003,      2,     10,      3,600,ALFRED ST,600 ALFRED ST,146500,125300,271800,B2,4,1664,195000,42971,1953,45302,Conventional,2,0,4,271800,1010,SINGLE FAM  MDL-01
436,187,2-11,1002011000,      2,     11,,589,ALFRED ST,589 ALFRED ST,97400,82500,179900,B2,5,924,90000,40925,1952,152460,Cape,1,0,3,179900,1010,SINGLE FAM  MDL-01
437,188,2-12,1002012000,      2,     12,,588,ALFRED ST,588 ALFRED ST,368000,0,368000,RF B2,,0,555000,37208,0,653400,Vacant Land,,0,,368000,906V,CHURCH  MDL-00
438,189,2-14,1002014000,      2,     14,,0,ALFRED ST (OFF OF),ALFRED ST (OFF OF),6300,0,6300,RF,,0,0,38659,0,352836,Vacant Land,,0,,6300,1320,RES ACLNUD  MDL-00
439,190,2-14-1,1002014001,      2,     14,      1,0,ALFRED ST (OFF OF),ALFRED ST (OFF OF),100,0,100,RF,,0,0,,0,7405,Vacant Land,,0,,100,9035,TOWN-PROP  MDL-00
440,191,2-15,1002015000,      2,     15,,0,ALFRED ST (OFF OF),ALFRED ST (OFF OF),7900,0,7900,RF,,0,0,26197,0,457380,Vacant Land,,0,,7900,1320,RES ACLNUD  MDL-00
441,192,2-15-1,1002015001,      2,     15,      1,30,ANDREWS RD,30 ANDREWS RD,33200,0,33200,RF,,0,8000,33043,0,891238,Vacant Land,,0,,33200,4230,ELEC ROW
442,193,2-16,1002016000,      2,     16,,0,ANDREWS RD (OFF OF),ANDREWS RD (OFF OF),8100,0,8100,RF,,0,0,39387,0,435600,Vacant Land,,0,,8100,9040,LIT/SCIENT  MDL-00
443,194,2-17,1002017000,      2,     17,,0,ANDREWS RD (OFF OF),ANDREWS RD (OFF OF),12600,0,12600,RF,,0,0,38659,0,740520,Vacant Land,,0,,12600,1320,RES ACLNUD  MDL-00
444,195,2-17-2,1002017002,      2,     17,      2,437,SOUTH ST,437 SOUTH ST,54200,91200,145400,RF SR1,5,960,0,30461,1980,110642,Ranch,1,26000,3,119400,1010,SINGLE FAM  MDL-01
445,196,2-17-4,1002017004,      2,     17,      4,469,SOUTH ST,469 SOUTH ST,53400,0,53400,RF SR1,,0,325000,42366,0,444312,Vacant Land,,0,,53400,1300,RES ACLNDV  MDL-00
446,197,2-18,1002018000,      2,     18,,475,SOUTH ST,475 SOUTH ST,7400,0,7400,RF,,0,325000,42366,0,367646,Vacant Land,,0,,7400,1320,RES ACLNUD  MDL-00
447,198,2-19,1002019000,      2,     19,,439,SOUTH ST,439 SOUTH ST,364900,1196600,1561500,RF SR1,,0,0,,0,5645376,,,0,,1561500,4200,PUB TANKS
448,199,2-19-1,1002019001,      2,     19,      1,24,ANDREWS RD,24 ANDREWS RD,29700,0,29700,RF,,0,0,,0,398138,Vacant Land,,0,,29700,402V,IND BLDG  MDL-00
449,200,2-21,1002021000,      2,     21,,0,ALFRED ST (OFF OF),ALFRED ST (OFF OF),22400,0,22400,RF,,0,0,30168,0,1393920,Vacant Land,,0,,22400,1320,RES ACLNUD  MDL-00
450,201,2-22,1002022000,      2,     22,,0,ALFRED ST (OFF OF),ALFRED ST (OFF OF),21700,0,21700,RF,,0,0,32412,0,1350360,Vacant Land,,0,,21700,1320,RES ACLNUD  MDL-00
451,202,2-23,1002023000,      2,     23,,584,ALFRED ST,584 ALFRED ST,165700,170100,335800,B2,2,2287,0,34765,1920,130680,Conventional,2.5,20000,3,315800,0101,Single Fam
452,203,2-23-1,1002023001,      2,     23,      1,6,OLD DOGS WAY,6 OLD DOGS WAY,2122900,2355900,4478800,B2,,6068,6675000,43118,2016,206910,Shop Center RE,,0,,4478800,3222,COMM BLDG  MDL-94
453,205,2-23-3,1002023003,      2,     23,      3,586,ALFRED ST,586 ALFRED ST,230700,158900,389600,B2,,2366,200000,43159,1960,51836,Office Bldg,,0,,389600,3222,COMM BLDG  MDL-94
454,206,2-23-4,1002023004,      2,     23,      4,574,ALFRED ST,574 ALFRED ST,226800,142900,369700,B2,5,1260,435000,42130,1986,98010,Ranch,2,0,2,369700,1010,SINGLE FAM  MDL-01
455,108480,2-24,1002024000,      2,     24,,101,SHOPS WAY,101 SHOPS WAY,2861500,10031400,12892900,B2,,70872,0,41985,2006,584421,Shop Center RE,,0,,12892900,3222,COMM BLDG  MDL-94
456,108486,2-25,1002025000,      2,     25,,0,ALFRED ST,ALFRED ST #5,613300,1571100,2184400,B2,,5104,0,41985,2006,136084,Restaurant,,0,,2184400,3222,COMM BLDG  MDL-94
457,108485,2-26,1002026000,      2,     26,,401,MARINER WAY,401 MARINER WAY #4,2424900,6485500,8910400,B2,,65190,0,41985,2006,279657,Shop Center RE,,0,,8910400,3220,STORE/SHOP  MDL-94
458,108484,2-27,1002027000,      2,     27,,0,ALFRED ST,ALFRED ST #3,1262800,2706700,3969500,B2,,40129,0,41985,2006,147534,Department Str,,0,,3969500,3220,STORE/SHOP  MDL-94
459,108483,2-28,1002028000,      2,     28,,220,MARINER WAY,220 MARINER WAY #2,3850200,10623800,14474000,B2,,135080,0,41985,2007,506137,Supermarket,,0,,14474000,322I,STORE/SHOP  MDL-96
460,108520,2-29,1002029000,      2,     29,,430,MARINER WAY,430 MARINER WAY #1,4051300,7750500,11801800,B2,,136033,4510000,38623,2006,417206,Department Str,,0,,11801800,3220,STORE/SHOP  MDL-94
461,108500,2-30,1002030000,      2,     30,,0,ALFRED ST,ALFRED ST,0,0,0,B2,,0,0,41985,2006,0,Condominium,,0,,0,995,CONDO MAIN
462,225,2-34,1002034000,      2,     34,,551,ALFRED ST,551 ALFRED ST,1360900,3658400,5019300,B2,,40493,0,30873,1986,886882,Churches,,0,,5019300,906I,CHURCH  MDL-96
463,226,2-34-1,1002034001,      2,     34,      1,547,ALFRED ST,547 ALFRED ST,329300,324300,653600,B2,,3154,300000,42369,2007,71438,Commercial,,0,,653600,4022,IND BLDG  MDL-96
464,227,2-35,1002035000,      2,     35,,566,ALFRED ST,566-568 ALFRED ST,774200,618000,1392200,B2,,7144,825000,39014,2007,76230,Auto Parts-Service,,0,,1392200,3222,COMM BLDG  MDL-94
465,228,2-36,1002036000,      2,     36,,564,ALFRED ST,564 ALFRED ST,774200,737100,1511300,B2,,3028,685000,39490,2009,87120,Store/Gas,,0,,1511300,3110,RTL GAS ST  MDL-94
466,229,2-37,1002037000,      2,     37,,50,BIDDEFORD GATEWAY PLAZA,50 BIDDEFORD GATEWAY PLAZA,4103700,5520800,9624500,RF B2,,119500,0,37847,2000,1234490,Discount Store,,0,,9624500,322I,STORE/SHOP  MDL-96
467,230,2-37-1,1002037001,      2,     37,      1,0,ALFRED ST (OFF OF),ALFRED ST (OFF OF),36100,0,36100,RF B2,,0,0,32450,0,2000711,Vacant Land,,0,,36100,9010,STATE OWND  MDL-00
468,231,2-37-2,1002037002,      2,     37,      2,25,BIDDEFORD GATEWAY PLAZA,25-75 BIDDEFORD GATEWAY PLAZA,3072300,6089700,9162000,B2,,65682,49999,41697,2014,827640,Department Str,,0,,9162000,3220,STORE/SHOP  MDL-94
469,232,2-38,1002038000,      2,     38,,475,SOUTH ST,475 SOUTH ST,7000,0,7000,R-F,,0,600000,42965,0,827640,Vacant Land,,0,,7000,7122,TREEGROWTH HARD
470,233,2-39,1002039000,      2,     39,,0,ALFRED ST (OFF OF),ALFRED ST (OFF OF),14800,0,14800,RF,,0,0,31674,0,795841,Vacant Land,,0,,14800,9035,TOWN-PROP  MDL-00
471,234,2-39-1,1002039001,      2,     39,      1,0,ALFRED ST (OFF OF),ALFRED ST (OFF OF),13800,0,13800,RF,,0,0,,0,740520,Vacant Land,,0,,13800,9010,STATE OWND  MDL-00
472,235,2-40,1002040000,      2,     40,,466,SOUTH ST,466-468 SOUTH ST,152700,885300,1038000,SR1,,32921,0,,1894,653401,Heavy Indust,,0,,1038000,4020,IND OFFICE
473,236,2-41-1,1002041001,      2,     41,      1,1,FOX HOLLOW DR,1 FOX HOLLOW DR,46100,111200,157300,SR1,5,1032,0,29021,1979,20038,Ranch,1,20000,2,137300,1010,SINGLE FAM  MDL-01
474,237,2-41-2,1002041002,      2,     41,      2,3,FOX HOLLOW DR,3 FOX HOLLOW DR,46300,122800,169100,SR1,7,1666,0,29689,1980,20473,Colonial,1.5,20000,3,149100,1010,SINGLE FAM  MDL-01
475,238,2-41-3,1002041003,      2,     41,      3,5,FOX HOLLOW DR,5 FOX HOLLOW DR,68100,168400,236500,SR1,4,1500,0,29689,1984,71003,Ranch,1,26000,2,210500,1070,SRF RIVER  MDL-01
476,239,2-41-4,1002041004,      2,     41,      4,7,FOX HOLLOW DR,7 FOX HOLLOW DR,75200,141500,216700,SR1,5,1232,0,29045,1981,64033,Ranch,2,20000,3,196700,1070,SRF RIVER  MDL-01
477,240,2-41-5,1002041005,      2,     41,      5,9,FOX HOLLOW DR,9 FOX HOLLOW DR,67000,168100,235100,SR1,7,1768,95000,36201,1980,50094,Colonial,2,20000,3,215100,1070,SRF RIVER  MDL-01
478,241,2-41-6,1002041006,      2,     41,      6,11,FOX HOLLOW DR,11 FOX HOLLOW DR,76500,161400,237900,SR1,4,1663,181000,41436,1987,85813,Cape,1.5,0,3,237900,1070,SRF RIVER  MDL-01
479,242,2-41-7,1002041007,      2,     41,      7,436,SOUTH ST,436 SOUTH ST,41800,143700,185500,SR1,5,1290,110000,33953,1987,21344,Raised Ranch,1.5,26000,2,159500,1010,SINGLE FAM  MDL-01
480,243,2-41-8,1002041008,      2,     41,      8,438,SOUTH ST,438 SOUTH ST,41800,142500,184300,SR1,5,1318,162000,36966,1984,20473,Split-Level,1.5,0,3,184300,1010,SINGLE FAM  MDL-01
481,244,2-41-9,1002041009,      2,     41,      9,440,SOUTH ST,440 SOUTH ST,46700,138200,184900,SR1,7,1549,194000,41341,1983,22216,Cape,2.5,20000,3,164900,1010,SINGLE FAM  MDL-01
482,245,2-41-10,1002041010,      2,     41,     10,2,FOX HOLLOW DR,2 FOX HOLLOW DR,46700,118400,165100,SR1,7,1382,149900,37711,1979,22651,Cape,2,20000,3,145100,1010,SINGLE FAM  MDL-01
483,100566,2-42,1002042000,      2,     42,,37,BARRA RD,37 BARRA RD,61800,0,61800,I3,,0,30000,36476,0,158994,Vacant Land,,0,,61800,9030,MUNICPAL
484,101562,2-42,1002042000,      2,     42,,37,BARRA RD,37 BARRA RD,0,18400,18400,I-3,,187,0,,2001,1,Telephone Bldg,,0,,18400,4300,TEL X STA
485,7368,2-42-1,1002042001,      2,     42,      1,60,BARRA RD,60 BARRA RD,37000,0,37000,I3,,0,30000,35734,0,148104,Vacant Land,,0,,37000,1300,RES ACLNDV  MDL-00
486,100582,2-42-2,1002042002,      2,     42,      2,45,BARRA RD,45 BARRA RD,227400,3410500,3637900,I3,,34697,61000,37516,2003,112385,Hotel/Inn,,0,,3637900,3000,HOTELS
487,100583,2-42-3,1002042003,      2,     42,      3,9,HEALTHCARE DR,9 HEALTHCARE DR,361900,4782600,5144500,I3,,51376,20000000,43083,2007,316682,Profess. Bldg,,0,,5144500,3400,OFFICE BLD  MDL-94
488,100584,2-42-4,1002042004,      2,     42,      4,10,HEALTHCARE DR,10 HEALTHCARE DR,167000,0,167000,I3,,0,0,36476,0,258746,Vacant Land,,0,,167000,9035,TOWN-PROP  MDL-00
489,120452,2-42-5,1002042005,      2,     42,      5,57,BARRA RD,57  BARRA RD,0,0,0,,,0,0,40141,2008,0,Condo Office,,0,,0,995,CONDO MAIN
490,100587,2-42-7,1002042007,      2,     42,      7,61,BARRA RD,61 BARRA RD,302200,1143100,1445300,I3,,6615,130000,41899,2015,151589,Profess. Bldg,,0,,1445300,3420,PROF BLDG
491,100588,2-42-8,1002042008,      2,     42,      8,0,SPRINGBROOK DR,SPRINGBROOK DR,147300,0,147300,R3 I3,,0,0,36476,0,198634,Vacant Land,,0,,147300,9035,TOWN-PROP  MDL-00
492,100589,2-42-9,1002042009,      2,     42,      9,0,SPRING BROOK DR,SPRING BROOK DR,144500,0,144500,R3 I3,,0,138000,38544,0,185130,Vacant Land,,0,,144500,9100,CHARI/BENO  MDL-00
493,121169,2-42,0,      2,     42,      B,37,BARRA RD,37 BARRA RD,0,60000,60000,,,726,0,42095,2015,0,Commercial,,0,,60000,4022,IND BLDG  MDL-96
494,100590,2-42-10,1002042010,      2,     42,     10,2,SPRING BROOK DR,2 SPRING BROOK DR,232300,1519700,1752000,I3,,24028,138000,38544,2006,202554,Office Bldg,,0,,1752000,910C,CHARI/BENO  MDL-94
495,100591,2-42-11,1002042011,      2,     42,     11,46,BARRA RD,46 BARRA RD,338100,5404200,5742300,I3,,41436,150000,41481,2014,85813,Profess. Bldg,,0,,5742300,910C,CHARI/BENO  MDL-94
496,120456,2-42-5,1002042014,      2,     42,     14,57,BARRA RD,57  BARRA RD  #1,81200,308600,389800,I3,,3025,387000,40149,2008,43560,Condo Office,1.5,0,0,389800,3401,OFF CONDO  MDL-06
497,120455,2-42-5,1002042015,      2,     42,     15,57,BARRA RD,57 BARRA RD #2,79400,242500,321900,I3,,2255,843767,39309,2008,43560,Condo Office,1.5,0,0,321900,3401,OFF CONDO  MDL-06
498,120453,2-42-5,1002042016,      2,     42,     16,57,BARRA RD,57 BARRA RD #4,81200,308600,389800,I3,,3025,582000,40260,2008,43560,Condo Office,1.5,0,0,389800,3401,OFF CONDO  MDL-06
499,120454,2-42-5,1002042017,      2,     42,     17,57,BARRA RD,57 BARRA RD #3,82300,357500,439800,I3,,3740,843767,39309,2008,43560,Condo Office,1.5,0,0,439800,3401,OFF CONDO  MDL-06
500,247,2-43,1002043000,      2,     43,,30,BARRA RD,30 BARRA RD,178600,0,178600,I3,,0,0,32336,0,777110,Vacant Land,,0,,178600,9100,CHARI/BENO  MDL-00
501,248,2-43-1,1002043001,      2,     43,      1,0,BARRA RD (OFF OF),BARRA RD (OFF OF),31500,0,31500,I3,,0,21000,42107,0,392040,Vacant Land,,0,,31500,4410,IND LD PO
502,249,2-43-2,1002043002,      2,     43,      2,20,BARRA RD,20 BARRA RD,90700,92300,183000,I3,,2000,0,40445,1985,18731,Garage/Office,,0,,183000,3320,AUTO REPR  MDL-95
503,250,2-43-3,1002043003,      2,     43,      3,13,POMERLEAU ST,13 POMERLEAU ST,137600,492200,629800,I3,,10672,0,30812,1985,126324,Commercial,,0,,629800,903L,TOWN-PROP  MDL-96
504,251,2-43-4,1002043004,      2,     43,      4,11,POMERLEAU ST,11 POMERLEAU ST,175000,48700,223700,I3,,2008,0,31414,1978,61855,Service Shop,,0,,223700,031C,PRI COMM  MDL-94
505,252,2-43-5,1002043005,      2,     43,      5,7,POMERLEAU ST,7 POMERLEAU ST,110600,390800,501400,I3,,2124,180000,37923,1988,131987,Office Bldg,,0,,501400,3400,OFFICE BLD  MDL-94
506,7389,2-43-5,1002043005,      2,     43,      5,0,POMERLEAU ST,POMERLEAU ST,0,16800,16800,I-3,,0,0,,0,0,,,0,,16800,322A,COMM BLDG  MDL-00
507,100922,2-43-5,1002043005,      2,     43,      5,0,POMERLEAU ST,POMERLEAU ST,0,25200,25200,I-3,,0,0,37942,0,0,,,0,,25200,322A,COMM BLDG  MDL-00
508,253,2-43-6,1002043006,      2,     43,      6,26,BARRA RD,26 BARRA RD,95500,0,95500,I3,,0,0,31282,0,49223,Vacant Land,,0,,95500,3900,DEVEL LAND  MDL-00
509,254,2-43-7,1002043007,      2,     43,      7,29,BARRA RD,29 BARRA RD,233500,1297800,1531300,I3,,8440,212000,41558,2014,242629,Profess. Bldg,,0,,1531300,3420,PROF BLDG
510,120692,2-43-9,1002043009,      2,     43,      9,35,BARRA RD,35 BARRA RD,89500,407800,497300,I3,,4200,95000,40963,2012,39270,Office Bldg,,0,,497300,3420,PROF BLDG
511,120888,2-43-10,1002043010,      2,     43,     10,29,BARRA RD,29 BARRA RD,115900,0,115900,I3,,0,127000,35293,0,242629,Vacant Land,,0,,115900,4420,IND LD UD  MDL-00
512,258,2-43,1002043011,      2,     43,     11,9,POMERLEAU ST,9 POMERLEAU ST,91700,399700,491400,I3,,11900,128000,34667,1989,28314,Pre-Eng Warehs,,0,,491400,3222,COMM BLDG  MDL-94
513,120890,2-43-12,1002043012,      2,     43,     12,0,BARRA RD,BARRA RD,153500,2035600,2189100,I3,,9869,70000,41466,2015,130680,Profess. Bldg,,0,,2189100,910C,CHARI/BENO  MDL-94
514,259,2-44,1002044000,      2,     44,,3,POMERLEAU ST,3 POMERLEAU ST,464600,1044700,1509300,I3,,21632,0,37937,1988,355014,Health Club,,0,,1509300,910I,CHARI/BENO  MDL-96
515,260,2-46,1002046000,      2,     46,,476,ALFRED ST,476 ALFRED ST #1,888300,776100,1664400,I3,,2456,300000,35552,1998,239580,Fast Food Rest,,0,,1664400,3222,COMM BLDG  MDL-94
516,119204,2-47,1002047000,      2,     47,,0,WELLSPRING RD,6-6 WELLSPRING RD,0,0,0,,,0,0,32269,1989,0,Condo Office,,0,,0,995,CONDO MAIN
517,261,2-47-1,1002047001,      2,     47,      1,2,WELLSPRING RD,2 WELLSPRING RD,89700,309100,398800,I3,,3262,0,40991,1997,21780,Profess. Bldg,,0,,398800,3222,COMM BLDG  MDL-94
518,262,2-47-2,1002047002,      2,     47,      2,4,WELLSPRING RD,4 WELLSPRING RD,99100,346000,445100,I3,,5012,380000,42024,1983,69696,Profess. Bldg,,0,,445100,3400,OFFICE BLD  MDL-94
519,263,2-47-4,1002047004,      2,     47,      4,8,WELLSPRING RD,8 WELLSPRING RD,95000,0,95000,I3,,0,0,31475,0,46174,Vacant Land,,0,,95000,3900,DEVEL LAND  MDL-00
520,264,2-47-5,1002047005,      2,     47,      5,10,WELLSPRING RD,10 WELLSPRING RD,95400,337300,432700,I3,,4048,500000,42380,1986,40075,Profess. Bldg,,0,,432700,9050,HOSPITALS  MDL-94
